#,Date,Title (Hebrew),Title (English),YouTube Link
71,10-Nov-22,דבר תורה קצר לפרשת וירא,A short Torah verse for Parashat Vayera,https://www.youtube.com/watch?v=IIbcxpsgmEg
72,17-Nov-22,דבר תורה קצר לפרשת חיי שרה,A short Torah verse for Parashat Chayei Sarah,https://www.youtube.com/watch?v=GipGntru5As
73,25-Nov-22,דבר תורה קצר לפרשת תולדות,A short Torah verse for Parashat Toldot,https://www.youtube.com/watch?v=ZBnQay9sFJg
74,2-Dec-22,דבר תורה קצר לפרשת ויצא,A short Torah verse for Parashat Vayetze,https://www.youtube.com/watch?v=utexfMzFcHA
75,9-Dec-22,דבר תורה קצר לפרשת וישלח,A short Torah verse for Parashat Vayishlach,https://www.youtube.com/watch?v=P6hN3fD25B4
76,15-Dec-22,דבר תורה קצר לפרשת וישב,A short Torah verse for Parashat Vayeshev,https://www.youtube.com/watch?v=x0bWJshvqq0
77,23-Dec-22,דבר תורה קצר לפרשת מקץ,A short Torah verse for Parashat Miketz,https://www.youtube.com/watch?v=z2WaAbj3uzo
78,30-Dec-22,דבר תורה קצר לפרשת ויגש,A short Torah verse for Parashat Vayigash,https://www.youtube.com/watch?v=5OLdCyY9SPw
79,6-Jan-23,דבר תורה קצר לפרשת ויחי,A short Dvar Torah for Parashat Vayechi,https://www.youtube.com/watch?v=Z-GdqqqaFbk
80,13-Jan-23,דבר תורה קצר לפרשת שמות,A short Dvar Torah for Parashat Shemot,https://www.youtube.com/watch?v=yybD8lCAGo0
81,20-Jan-23,דבר תורה קצר לפרשת וארא,A short Dvar Torah for Parashat Vaera,https://www.youtube.com/watch?v=Cwfxa2YLzU8
82,27-Jan-23,דבר תורה קצר לפרשת בא,A short Dvar Torah for Parashat Bo,https://www.youtube.com/watch?v=2I5DNapJnGA
83,2-Feb-23,דבר תורה קצר לפרשת בשלח,A short Dvar Torah for Parashat Beshalach,https://www.youtube.com/watch?v=b4VXn4XmASk
84,10-Feb-23,דבר תורה קצר לפרשת יתרו,A short Dvar Torah for Parashat Yitro,https://www.youtube.com/watch?v=wmZxuZRm-PU
85,17-Feb-23,דבר תורה קצר לפרשת משפטים,A short Dvar Torah for Parashat Mishpatim,https://www.youtube.com/watch?v=j3hs43PpxAk
86,23-Feb-23,דבר תורה קצר לפרשת תרומה,A short Dvar Torah for Parashat Terumah,https://www.youtube.com/watch?v=7Pv5h57xo-8
87,3-Mar-23,דבר תורה קצר לפרשת תצוה,A short Dvar Torah for Parashat Tetzaveh,https://www.youtube.com/watch?v=pyQQGPynHp8
88,10-Mar-23,דבר תורה קצר לפרשת כי תשא,A short Dvar Torah for Parashat Ki Tisa,https://www.youtube.com/watch?v=1mJ_ILU371c
89,17-Mar-23,דבר תורה קצר לפרשת ויקהל-פקודי,A short Dvar Torah for Parashat Vayakhel,https://www.youtube.com/watch?v=dAXXTNS4kwA
90,24-Mar-23,דבר תורה קצר לפרשת ויקרא,A short Dvar Torah for Parashat Vayikra,https://www.youtube.com/watch?v=aq7ftixZ-1Q
91,31-Mar-23,דבר תורה קצר לפרשת צו,A short Dvar Torah for Parashat Tzav,https://www.youtube.com/watch?v=s739DFa91nw
92,14-Apr-23,דבר תורה קצר לפרשת שמיני,A short Dvar Torah for Parashat Shmini,https://www.youtube.com/watch?v=cLJQRmSBwXA
93,21-Apr-23,דבר תורה קצר לפרשת תזריע-מצורע,A short Dvar Torah for Parashat Tazria - Metzora,https://www.youtube.com/watch?v=lb8MlCzHiBg
94,28-Apr-23,דבר תורה קצר לפרשת אחרי מות קדושים,A short Dvar Torah for Parashat Tazria,https://www.youtube.com/watch?v=cR6imXZakxU
95,5-May-23,דבר תורה קצר לפרשת אמור,A short Dvar Torah for Parashat Emor,https://www.youtube.com/watch?v=AJ3gACq-_wE
96,12-May-23,דבר תורה קצר לפרשת בהר בחוקותי,A short Dvar Torah for Parashat Behar,https://www.youtube.com/watch?v=KXo9wasmL3c
97,19-May-23,דבר תורה קצר לפרשת במדבר,A short Dvar Torah for Parashat Bamidbar,https://www.youtube.com/watch?v=2d2NyVxYWgQ
98,2-Jun-23,דבר תורה קצר לפרשת נשא,A short Dvar Torah for Parashat Nasso,https://www.youtube.com/watch?v=R-ea0wgW8wo
99,2-Jun-23,דבר תורה קצר לפרשת בהעלותך,A short Dvar Torah for Parashat Beha’alotcha,https://www.youtube.com/watch?v=-Czdz85-nr0
100,9-Jun-23,דבר תורה קצר לפרשת שלח לך,A short Dvar Torah for Parashat Sh’lach,https://www.youtube.com/watch?v=JRsyt5aFd_c
101,16-Jun-23,דבר תורה קצר לפרשת קרח,A short Dvar Torah for Parashat Korach,https://www.youtube.com/watch?v=ipWEDvq-ZcM
102,23-Jun-23,דבר תורה קצר לפרשת חקת,A short Dvar Torah for Parashat Chukat,https://www.youtube.com/watch?v=3lvVGLLcZSc
103,30-Jun-23,דבר תורה קצר לפרשת בלק,A short Dvar Torah for Parashat Balak,https://www.youtube.com/watch?v=HuNyH0tVGvA
104,6-Jul-23,דבר תורה קצר לפרשת פינחס,A short Dvar Torah for Parashat Pinchas,https://www.youtube.com/watch?v=BHpmWQKIWuM
105,14-Jul-23,דבר תורה קצר לפרשת מטות מסעי,A short Dvar Torah for Parashat Matot-Masei,https://www.youtube.com/watch?v=7dzFgbJbwS4
106,21-Jul-23,דבר תורה קצר לפרשת דברים,A short Dvar Torah for Parashat Devarim,https://www.youtube.com/watch?v=2HRm9whz9hk
107,28-Jul-23,דבר תורה קצר לפרשת ואתחנן,A short Dvar Torah for Parashat Vaetchanan,https://www.youtube.com/watch?v=tuOOqtt9e-k
108,4-Aug-23,דבר תורה קצר לפרשת עקב,A short Dvar Torah for Parashat Eikev,https://www.youtube.com/watch?v=Xjwg6CE45SU
109,11-Aug-23,דבר תורה קצר לפרשת ראה,A short Dvar Torah for Parashat Re’eh,https://www.youtube.com/watch?v=js11p5m8O0o
110,18-Aug-23,דבר תורה קצר לפרשת שופטים,A short Dvar Torah for Parashat Shoftim,https://www.youtube.com/watch?v=Xm6eXK2glEI
111,24-Aug-23,דבר תורה קצר לפרשת כי תצא,A short Dvar Torah for Parashat Ki Teitzei,https://www.youtube.com/watch?v=TQhofkdtp00
112,1-Sep-23,דבר תורה קצר לפרשת כי תבוא,A short Dvar Torah for Parashat Ki Tavo,https://www.youtube.com/watch?v=q38GcCvEPR0
113,8-Sep-23,דבר תורה קצר לפרשת נצבים וילך,A short Dvar Torah for Parashat Nitzavim-Vayeilech,https://www.youtube.com/watch?v=LGVctIwLQ70
114,15-Sep-23,דבר תורה קצר לשבת וראש השנה,A short Dvar Torah for Parashat shabat and Rosh Hshana,https://www.youtube.com/watch?v=nJz5Mg2HBRA
115,22-Sep-23,דבר תורה קצר לפרשת האזינו,A short Dvar Torah for Parashat Ha’azinu,https://www.youtube.com/watch?v=Qd56LMFPpgo
116,28-Sep-23,דבר תורה קצר לשבת וחג הסוכות,A short Dvar Torah for Parashat shabat and sukkot holiday,https://www.youtube.com/watch?v=R16f_q6FNaM
117,5-Oct-23,דבר תורה קצר לפרשת וזאת הברכה,A short Dvar Torah for Parashat Vezot Haberakhah,https://www.youtube.com/watch?v=spuogc-1mBM
118,13-Oct-23,"דבר תורה קצר לפרשת בראשית התשפ""ד",A short Dvar Torah for Parashat Bereshit,https://www.youtube.com/watch?v=kTajBKM_XjE
119,20-Oct-23,"דבר תורה קצר לפרשת נח התשפ""ד",A short Dvar Torah for Parashat Noach,https://www.youtube.com/watch?v=JWT18Q1hT60
120,27-Oct-23,"דבר תורה קצר לפרשת לך לך התשפ""ד",A short Dvar Torah for Parashat Lech-Lecha,https://www.youtube.com/watch?v=Xnv6GYOq1dU
121,2-Nov-23,"דבר תורה קצר לפרשת וירא התשפ""ד",A short Dvar Torah for Parashat Vayera,https://www.youtube.com/watch?v=aPF0LS5QEsE
122,10-Nov-23,"דבר תורה קצר לפרשת חיי שרה התשפ""ד",A short Dvar Torah for Parashat Chayei Sara,https://www.youtube.com/watch?v=qWfEkZbJ5oo
123,16-Nov-23,"דבר תורה קצר לפרשת תולדות התשפ""ד",A short Dvar Torah for Parashat Toldot,https://www.youtube.com/watch?v=_hIAY4h0POU
124,24-Nov-23,"דבר תורה קצר לפרשת ויצא התשפ""ד",A short Dvar Torah for Parashat Vayetzei,https://www.youtube.com/watch?v=OvweD-3L22g
125,1-Dec-23,"דבר תורה קצר לפרשת וישלח התשפ""ד",A short Dvar Torah for Parashat Vayishlach,https://www.youtube.com/watch?v=vHly81WSneg
126,7-Dec-23,"דבר תורה קצר לפרשת וישב התשפ""ד",A short Dvar Torah for Parashat Vayeshev,https://www.youtube.com/watch?v=_V__00r8iQ8
127,14-Dec-23,"דבר תורה קצר לפרשת מקץ התשפ""ד",A short Dvar Torah for Parashat Miketz,https://www.youtube.com/watch?v=ogcHy25sf00
128,21-Dec-23,"דבר תורה קצר לפרשת ויגש התשפ""ד",A short Dvar Torah for Parashat Vayigash,https://www.youtube.com/watch?v=qkZrglIQZoc
129,29-Dec-23,"דבר תורה קצר לפרשת ויחי התשפ""ד",A short Dvar Torah for Parashat Vayechi,https://www.youtube.com/watch?v=0JEyKlVdV5Q
130,5-Jan-24,"דבר תורה קצר לפרשת שמות התשפ""ד",A short Dvar Torah for Parashat Shemot,https://www.youtube.com/watch?v=Ggrq1cjyvjg
131,11-Jan-24,"דבר תורה קצר לפרשת וארא התשפ""ד",A short Dvar Torah for Parashat Vaera,https://www.youtube.com/watch?v=uauDkyRI0Rc
132,19-Jan-24,"דבר תורה קצר לפרשת בא התשפ""ד",A short Dvar Torah for Parashat Bo,https://www.youtube.com/watch?v=a8V8dG1c8_U
133,26-Jan-24,"דבר תורה קצר לפרשת בשלח התשפ""ד",A short Dvar Torah for Parashat Beshalach,https://www.youtube.com/watch?v=sMPkZD_cBNQ
134,2-Feb-24,"דבר תורה קצר לפרשת יתרו התשפ""ד",A short Dvar Torah for Parashat Yitro,https://www.youtube.com/watch?v=tJdFAhmouiY
135,8-Feb-24,"דבר תורה קצר לפרשת משפטים התשפ""ד",A short Dvar Torah for Parashat Mishpatim,https://www.youtube.com/watch?v=IV6DUOzJw9s
136,15-Feb-24,"דבר תורה קצר לפרשת תרומה התשפ""ד",A short Dvar Torah for Parashat Terumah,https://www.youtube.com/watch?v=6uf-OWs-iRA
137,23-Feb-24,"דבר תורה קצר לפרשת תצוה התשפ""ד",A short Dvar Torah for Parashat Tetzaveh,https://www.youtube.com/watch?v=E6za6ferbVw
138,29-Feb-24,"דבר תורה קצר לפרשת כי תשא התשפ""ד",A short Dvar Torah for Parashat Ki Tisa,https://www.youtube.com/watch?v=XY5JJvR7Rsk
139,8-Mar-24,"דבר תורה קצר לפרשת ויקהל התשפ""ד",A short Dvar Torah for Parashat Vayakhel,https://www.youtube.com/watch?v=tXsWSbBeI1Q
140,15-Mar-24,"דבר תורה קצר לפרשת פקודי התשפ""ד",A short Dvar Torah for Parashat Pekudei,https://www.youtube.com/watch?v=ysCon_JeDb0
141,22-Mar-24,"דבר תורה קצר לפרשת ויקרא התשפ""ד",A short Dvar Torah for Parashat Vayikra,https://www.youtube.com/watch?v=mYJIHZaeAZs
142,29-Mar-24,"דבר תורה קצר לפרשת צו התשפ""ד",A short Dvar Torah for Parashat Tzav,https://www.youtube.com/watch?v=pcyR3HlRAZc
143,5-Apr-24,"דבר תורה קצר לפרשת שמיני התשפ""ד",A short Dvar Torah for Parashat Shmini,https://www.youtube.com/watch?v=NU3-5gL8VvI
144,12-Apr-24,"דבר תורה קצר לפרשת תזריע התשפ""ד",A short Dvar Torah for Parashat Tazria,https://www.youtube.com/watch?v=CD4dL0nt890
145,19-Apr-24,"דבר תורה קצר לפרשת מצורע התשפ""ד",A short Dvar Torah for Parashat Metzora,https://www.youtube.com/watch?v=dvUKbJu0CNY
146,2-May-24,"דבר תורה קצר לפרשת אחרי מות התשפ""ד",A short Dvar Torah for Parashat Achrei Mot,https://www.youtube.com/watch?v=9T6pl27AUAE
147,10-May-24,"דבר תורה קצר לפרשת קדושים התשפ""ד",A short Dvar Torah for Parashat Kedoshim,https://www.youtube.com/watch?v=zd7SfhQsnMA
148,17-May-24,"דבר תורה קצר לפרשת אמור התשפ""ד",A short Dvar Torah for Parashat Emor,https://www.youtube.com/watch?v=Z6GHy2Cry-4
149,24-May-24,"דבר תורה קצר לפרשת בהר התשפ""ד",A short Dvar Torah for Parashat Behar,https://www.youtube.com/watch?v=V8_XOWJVQV8
150,30-May-24,"דבר תורה קצר לפרשת בחוקותי התשפ""ד",A short Dvar Torah for Parashat Bechukotai,https://www.youtube.com/watch?v=hw1zXA0XQ-w
151,7-Jun-24,"דבר תורה קצר לפרשת במדבר התשפ""ד",A short Dvar Torah for Parashat Bamidbar,https://www.youtube.com/watch?v=dJZlAa6T1Ko
152,14-Jun-24,"דבר תורה קצר לפרשת נשא התשפ""ד",A short Dvar Torah for Parashat Nasso,https://www.youtube.com/watch?v=LBXlDbSPGmg
153,21-Jun-24,"דבר תורה קצר לפרשת בהעלותך התשפ""ד",A short Dvar Torah for Parashat Beha’alotcha,https://www.youtube.com/watch?v=DhQMWFo1O04
154,28-Jun-24,"דבר תורה קצר לפרשת שלח התשפ""ד",A short Dvar Torah for Parashat Sh’lach,https://www.youtube.com/watch?v=eAQ4f-_C_XE
155,5-Jul-24,"דבר תורה קצר לפרשת קרח התשפ""ד",A short Dvar Torah for Parashat Korach,https://www.youtube.com/watch?v=X3GP--Q5TbM
156,12-Jul-24,"דבר תורה קצר לפרשת חקת התשפ""ד",A short Dvar Torah for Parashat Chukat,https://www.youtube.com/watch?v=dSSGZM0tTdY
157,19-Jul-24,"דבר תורה קצר לפרשת בלק התשפ""ד",A short Dvar Torah for Parashat Balak,https://www.youtube.com/watch?v=1o6OJuLwVpA
158,26-Jul-24,"דבר תורה קצר לפרשת פינחס התשפ""ד",A short Dvar Torah for Parashat Pinchas,https://www.youtube.com/watch?v=LZHgQ_HzBWs
159,2-Aug-24,"דבר תורה קצר לפרשת מטות מסעי התשפ""ד",A short Dvar Torah for Parashat Matot - Masei,https://www.youtube.com/watch?v=JMeAHfWPM6g
160,9-Aug-24,"דבר תורה קצר לפרשת דברים התשפ""ד",A short Dvar Torah for Parashat Devarim,https://www.youtube.com/watch?v=hGVRZsBlPPI
161,16-Aug-24,"דבר תורה קצר לפרשת ואתחנן התשפ""ד",A short Dvar Torah for Parashat Vaetchanan,https://www.youtube.com/watch?v=Xm00y2aSqts
162,23-Aug-24,"דבר תורה קצר לפרשת עקב התשפ""ד",A short Dvar Torah for Parashat Eikev,https://www.youtube.com/watch?v=9QHE--2yDtg
163,30-Aug-24,"דבר תורה קצר לפרשת ראה התשפ""ד",A short Dvar Torah for Parashat Re’eh,https://www.youtube.com/watch?v=KxUb341M8Uw
164,6-Sep-24,"דבר תורה קצר לפרשת שופטים התשפ""ד",A short Dvar Torah for Parashat Shoftim,https://www.youtube.com/watch?v=YcDnA-qgn5g
165,13-Sep-24,"דבר תורה קצר לפרשת כי תצא התשפ""ד",A short Dvar Torah for Parashat Ki Teitzei,https://www.youtube.com/watch?v=t8Fu9zm5ahk
166,20-Sep-24,"דבר תורה קצר לפרשת כי תבוא התשפ""ד",A short Dvar Torah for Parashat Ki Tavo,https://www.youtube.com/watch?v=kIGDlWY-PJE
167,27-Sep-24,"דבר תורה קצר לפרשת נצבים-וילך התשפ""ד",A short Dvar Torah for Parashat Nitzavim-Vayeilech,https://www.youtube.com/watch?v=syUmvyiO5rY
168,2-Oct-24,"דבר תורה קצר לפרשת האזינו התשפ""ה",A short Dvar Torah for Parashat Ha’azinu,https://www.youtube.com/watch?v=WS1SQHzbsHg
169,23-Oct-24,"דבר תורה קצר לפרשת וזאת הברכה התשפ""ה",A short Dvar Torah for Parashat Vezot Haberakhah,https://www.youtube.com/watch?v=UtdUH6nGBP4
170,23-Oct-24,"דבר תורה קצר לפרשת בראשית התשפ""ה",A short Dvar Torah for Parashat Bereshit,https://www.youtube.com/watch?v=IS1Qz26HbmI
171,1-Nov-24,"דבר תורה קצר לפרשת נח התשפ""ה",A short Dvar Torah for Parashat Noach,https://www.youtube.com/watch?v=71xdXFw3NFU
172,8-Nov-24,"דבר תורה קצר לפרשת לך לך התשפ""ה",A short Dvar Torah for Parashat Lech-Lecha,https://www.youtube.com/watch?v=LcxWFK2tKgo
173,15-Nov-24,"דבר תורה קצר לפרשת וירא התשפ""ה",A short Dvar Torah for Parashat Vayera,https://www.youtube.com/watch?v=33KpoNIzcGQ
174,22-Nov-24,דבר תורה קצר לפרשת חיי שרה התשפ״ה,A short Dvar Torah for Parashat Chayei Sara,https://www.youtube.com/watch?v=-ZY70QoIohM
175,29-Nov-24,דבר תורה קצר לפרשת תולדות התשפ״ה,A short Dvar Torah for Parashat Toldot,https://www.youtube.com/watch?v=gau-RD_K_SE
176,6-Dec-24,"דבר תורה קצר לפרשת ויצא התשפ""ה",A short Dvar Torah for Parashat Vayetzei,https://www.youtube.com/watch?v=MgEm6oKnNdE
177,13-Dec-24,"דבר תורה קצר לפרשת וישלח התשפ""ה",A short Dvar Torah for Parashat Vayishlach,https://www.youtube.com/watch?v=7h0Iwy3idac
