#,Category,Subcategory,Parasha,Title,Date,Language,Link
14,אחרית הימים,,,העולם הזה והעולם הבא,31-Jan-16,אנגלית,https://www.youtube.com/watch?v=DRxhEHyos-E
15,אחרית הימים,,,העולם הזה והעולם הבא 2,10-Mar-16,אנגלית,https://www.youtube.com/watch?v=KgNNchnr6mg
16,אחרית הימים,,,מלחמת בני ישמעאל בבני אדום באחרית הימים,11-Feb-16,עברית,https://www.youtube.com/watch?v=c3wY3sFjNp4
17,אחרית הימים,,,מלחמת בני ישמעאל בבני אדום באחרית הימים [גרסה ב],12-Feb-16,עברית,https://www.youtube.com/watch?v=SzEMt4NZG74
18,אחרית הימים,,,מלחמת גוג ומגוג 1,3-Mar-16,אנגלית,https://www.youtube.com/watch?v=B8WyDHp2ZFU
19,אחרית הימים,,,מלחמת גוג ומגוג 2,7-Mar-16,אנגלית,https://www.youtube.com/watch?v=gWNh04pmXV0
20,אחרית הימים,,,מלחמת גוג ומגוג 3,21-Mar-16,אנגלית,https://www.youtube.com/watch?v=SrJN6IkZVfA
21,אחרית הימים,,,מלחמת גוג ומגוג 4,12-May-16,אנגלית,https://www.youtube.com/watch?v=MFI-CjEjCRM
22,אחרית הימים,,,"מלחמות ישמעאל ואדום באחרית הימים על פי ה""זוהר",11-Apr-16,עברית,https://www.youtube.com/watch?v=HHZa0LdmIvE
23,אחרית הימים,,,קריסת כל האידיאולוגיות באחרית הימים,17-May-16,עברית,https://www.youtube.com/watch?v=F66UxLZB69A
24,אחרית הימים,,,תאור התקופה שלפני הגאולה באחרית הימים,31-May-16,עברית,https://www.youtube.com/watch?v=CIbG1vsBbrk
25,אחרית הימים,,,בעקבות משיח - המלכות תהפך למינות - חלק א,21-Jun-16,עברית,https://www.youtube.com/watch?v=rWeaK0xw-5k
26,אחרית הימים,,,בעקבות משיח - המלכות תהפך למינות - חלק ב,28-Jun-16,עברית,https://www.youtube.com/watch?v=6OQj5Cum_RA
27,אחרית הימים,,,בעקבות משיח - המלכות תהפך למינות - חלק ג,13-Jul-16,עברית,https://www.youtube.com/watch?v=UIwAPlmFS_A
28,אחרית הימים,,,"בעקבות משיח - המלכות תהפך למינות - ""מערכת החינוך"" - חלק א",2-Aug-16,עברית,https://www.youtube.com/watch?v=CgrnjFCs27U
29,אחרית הימים,,,"""בעקבות משיח - המלכות תהפך למינות - ""מערכת המשפט",27-Jul-16,עברית,https://www.youtube.com/watch?v=GxMnKUwHsNo
30,אחרית הימים,,,בעקבות משיח - המלכות תהפך למינות - חלק ג' - המשך,13-Jul-16,עברית,https://www.youtube.com/watch?v=ynbvhfdKd-4
31,אחרית הימים,,,"""האם תקופתנו היא ""אחרית הימים",5-Aug-16,עברית,https://www.youtube.com/watch?v=zwIUgS0AkNA
32,אחרית הימים,,,ישמעאל באחרית הימים,21-Aug-16,אנגלית,https://www.youtube.com/watch?v=4Ao0-a0AxHY
33,אחרית הימים,,,אחרית הימים,19-Feb-17,אנגלית,https://www.youtube.com/watch?v=2uGnBXSMfjg
34,אחרית הימים,,,חבלי משיח - הנסיונות שלפני הגאולה,17-Feb-17,עברית,https://www.youtube.com/watch?v=MnMe1Kdiw7E
35,אחרית הימים,,,חבלי משיח - הנסיונות שלפני הגאולה [גרסה ב],22-Jun-17,עברית,https://www.youtube.com/watch?v=7RpOm3iZhYA
36,אחרית הימים,,,חבלי משיח - הנסיונות שלפני הגאולה,24-Dec-17,עברית,https://www.youtube.com/watch?v=UxnBfriok6s
37,אחרית הימים,,,חבלי משיח - הנסיונות שלפני הגאולה,26-Dec-17,אנגלית,https://www.youtube.com/watch?v=atbSwVDitas
38,אחרית הימים,,,אחרית הימים והעולם הבא - חלק ראשון,6-Mar-18,עברית,https://www.youtube.com/watch?v=pjlxCsgEaFA
39,אחרית הימים,,,מלחמת גוג ומגוג,9-Mar-18,עברית,https://www.youtube.com/watch?v=t2fKoU-jubA
40,אחרית הימים,,,אחרית הימים והעולם הבא - חלק שני,13-Mar-18,עברית,https://www.youtube.com/watch?v=FxepUjFNVFM
41,אחרית הימים,,,ירושלים ומלחמת גוג ומגוג,29-May-18,עברית,https://www.youtube.com/watch?v=8ifB5Q1duB0
42,אחרית הימים,,,שלום עולמי והמלחמה האחרונה שלפניו,19-Jul-18,עברית,https://www.youtube.com/watch?v=MwWCNx61JjU
43,אחרית הימים,,,קריסת כל האידאולוגיות באחרית הימים,25-Oct-18,עברית,https://www.youtube.com/watch?v=OrGyGnw4tJI
44,אחרית הימים,,,מלחמת גוג ומגוג 1 - חלק א׳,18-Oct-18,עברית,https://www.youtube.com/watch?v=JMWI3sqvPSo
45,אחרית הימים,,,מלחמת גוג ומגוג 2 - חלק ב׳,27-Oct-18,עברית,https://www.youtube.com/watch?v=NkeryBXeOBA
46,אחרית הימים,,,מלחמת גוג ומגוג 3 - חלק ג׳,8-Nov-18,עברית,https://www.youtube.com/watch?v=PHThsFi8jlI
47,אחרית הימים,,,לפני בא המשיח השקר ישלוט,1-Nov-18,עברית,https://www.youtube.com/watch?v=YqSnbTBvYZ8
48,אחרית הימים,,,חזון הנביאים לאחרית הימים,4-Nov-18,אנגלית,https://www.youtube.com/watch?v=efUxoduLpVQ
49,אחרית הימים,,,חזון הנביאים לאחרית הימים,13-Nov-18,עברית,https://www.youtube.com/watch?v=piy7hhdR55Q
50,אחרית הימים,,,כיצד תראה הגאולה ? מחכים ל״משיח״,24-Dec-18,עברית,https://www.youtube.com/watch?v=tHSjEs9s0pY
51,אחרית הימים,,,מלחמת גוג ומגוג 1 - חלק א׳,10-Jan-19,אנגלית,https://www.youtube.com/watch?v=xsu5JNcfR5U
52,אחרית הימים,,,מלחמת גוג ומגוג 2 - חלק ב׳,17-Jan-19,אנגלית,https://www.youtube.com/watch?v=TZ9PLOpSBW0
53,אחרית הימים,,,מלחמת גוג ומגוג 3 - חלק ג׳,24-Jan-19,אנגלית,https://www.youtube.com/watch?v=jLIr2jax014
54,אחרית הימים,,,מלחמת גוג ומגוג 4 - חלק ד׳,31-Jan-19,אנגלית,https://www.youtube.com/watch?v=beBqVm5FyuQ
55,אחרית הימים,,,גלות ישמעאל באחרית הימים,21-Jan-19,עברית,https://www.youtube.com/watch?v=zjJuqpOkWyE
56,אחרית הימים,,,אחרית הימים - האירועים על פי חזון הנביאים,11-Feb-19,עברית,https://www.youtube.com/watch?v=--XiJTKnI6s
57,אחרית הימים,,,המלחמות בין הנצרות והאיסלאם באחרית הימים,25-Feb-19,עברית,https://www.youtube.com/watch?v=zNZPGLDMgcg
58,אחרית הימים,,,העולם הזה והעולם הבא 1,7-Mar-19,אנגלית,https://www.youtube.com/watch?v=ivWJ6FCcqwQ
59,אחרית הימים,,,העולם הזה והעולם הבא 2,14-Mar-19,אנגלית,https://www.youtube.com/watch?v=NVvMZHKhamI
60,אחרית הימים,,,?מה צפוי שיקרה בבא המשיח,13-May-19,עברית,https://www.youtube.com/watch?v=iGrSJD8YYPw
61,אחרית הימים,,,קריסת כל האידאולוגיות באחרית הימים [זה כנראה כבר כאן],24-Jun-19,עברית,https://www.youtube.com/watch?v=3mv23l5dSF0
62,אחרית הימים,,,הנסיונות שלפני הגאולה 1,23-Jul-19,אנגלית,https://www.youtube.com/watch?v=atT7bPSwoDI
63,אחרית הימים,,,הנסיונות שלפני הגאולה 2,23-Jul-19,אנגלית,https://www.youtube.com/watch?v=xebJ_-G_2wM
64,אחרית הימים,,,מבוא כללי ל״אחרית הימים״,2-Jul-20,עברית,https://www.youtube.com/watch?v=nnMdxxMEFow
65,אחרית הימים,,,אחרית הימים - מלחמת גוג ומגוג - חלק א׳,8-Jul-20,עברית,https://www.youtube.com/watch?v=k2kP2VoE5cU
66,אחרית הימים,,,אחרית הימים - מלחמת גוג ומגוג - חלק ב׳,16-Jul-20,עברית,https://www.youtube.com/watch?v=lLzans0xuiw
67,אחרית הימים,,,אחרית הימים - מלחמת גוג ומגוג - חלק ג׳,23-Jul-20,עברית,https://www.youtube.com/watch?v=xwbEZjHIy34
68,אחרית הימים,,,אחרית הימים - מלחמת גוג ומגוג - חלק ד׳,29-Jul-20,עברית,https://www.youtube.com/watch?v=5vnStMwIP4E
69,אחרית הימים,,,חבלי משיח 1,27-Jan-21,אנגלית,https://www.youtube.com/watch?v=xsqDRPTOP5k
70,אחרית הימים,,,חבלי משיח 2,3-Feb-21,אנגלית,https://www.youtube.com/watch?v=vFBql-AXtuM
71,אחרית הימים,,,חבלי משיח 3,10-Feb-21,אנגלית,https://www.youtube.com/watch?v=BZH6WQjCA4o
72,אחרית הימים,,,העולם הזה והעולם הבא,29-Jul-21,אנגלית,https://www.youtube.com/watch?v=kLwKhnYhL1s
73,אחרית הימים,,,אחרית הימים - האיסור לחשב את הקץ,21-Mar-22,עברית,https://www.youtube.com/watch?v=CmiO-NouuzA
74,אחרית הימים,,,?מה צפוי שיקרה בבא המשיח,22-May-22,עברית,https://www.youtube.com/watch?v=JPln6IHN8bE
75,אחרית הימים,,,קריסת כל האידאולוגיות באחרית הימים,23-May-22,עברית,https://www.youtube.com/watch?v=VxR2q8nCVp8
76,אחרית הימים,,,?האם אנחנו ב״אחרית הימים״,15-Jun-22,עברית,https://www.youtube.com/watch?v=XT82jc-EfH4
77,אחרית הימים,,,העולם הזה והעולם הבא,7-Jul-22,עברית,https://www.youtube.com/watch?v=YSHu0FvOjVk
78,אחרית הימים,,,למה לצפות כשהמשיח יבוא,18-Aug-22,אנגלית,https://www.youtube.com/watch?v=sSNAadI7xd4
79,אחרית הימים,,,האתגרים באחרית הימים,28-Aug-22,אנגלית,https://www.youtube.com/watch?v=NHh4s0ElPx4
80,אחרית הימים,,,העולם הזה והעולם הבא,22-Nov-22,עברית,https://www.youtube.com/watch?v=F2z6Z2uNIrk
81,אחרית הימים,,,״מלחמת גוג ומגוג״ - עד כמה זה רחוק מאיתנו?,10-Jan-23,עברית,https://www.youtube.com/watch?v=j_SWyJa1uZ0
82,אחרית הימים,,,מלחמת גוג ומגוג - היום שאחרי,30-Jan-23,עברית,https://www.youtube.com/watch?v=3aj55lReduA
83,אחרית הימים,,,נסיונות ואתגרים בתקופת אחרית הימים,1-Mar-23,עברית,https://www.youtube.com/watch?v=11f0kIdjUnYhttps://www.youtube.com/watch?v=11f0kIdjUnY
84,אחרית הימים,,,האתגרים באחרית הימים,17-Mar-23,אנגלית,https://www.youtube.com/watch?v=qLl6YS6yjfQ
85,אחרית הימים,,,ה״עיקר״ השנים עשר - ביאת המשיח - מהם משימותיו של המשיח על פי הנבואה,28-Jun-23,עברית,https://www.youtube.com/watch?v=UZrNn2y0EY4
86,אחרית הימים,,,קריסת והתפוררות כל האידאולוגיות לפני הגאולה,9-Jul-23,עברית,https://www.youtube.com/watch?v=Vf-YGfKsDgY
87,אחרית הימים,,,הסכסוך הערבי ישראלי - ישמעאל באחרית הימים,20-Dec-23,עברית,https://www.youtube.com/watch?v=HbF-lFw1cx0
88,אחרית הימים,,,עשו ו וישמעאל בסוף הימים,30-Jan-24,אנגלית,https://www.youtube.com/watch?v=QjZS9WZLisc
89,אחרית הימים,,,מה צפוי שיקרה בבא המשיח ?,22-May-24,עברית,https://www.youtube.com/watch?v=h3j2s9Mm9P4
90,אחרית הימים,,,מה צפוי לקרות כשהמשיח יגיע?,22-May-24,אנגלית,https://www.youtube.com/watch?v=MloRpW8omd8
91,אחרית הימים,,,״חבלי משיח״ - הנסיונות שלפני הגאולה,23-May-24,עברית,https://www.youtube.com/watch?v=60cBNoGQQvE
92,אחרית הימים,,,״חבלי משיח״ והמאורעות העכשויים,9-Jul-24,עברית,https://www.youtube.com/watch?v=7hXaEGdrmik
93,אחרית הימים,,,דברי ה״זוהר״ והרמב״ם על הדרך לעבור בשלום את הצרות וקשיי התקופה שלפני הגאולה,10-Jul-24,עברית,https://www.youtube.com/watch?v=H0KY5s9t6HI
94,אחרית הימים,,,"מה זה ""סוף הימים"" חלק 1",29-Aug-24,אנגלית,https://www.youtube.com/watch?v=wrbucxZGmkM
95,אחרית הימים,,,"מה זה ""סוף הימים"" חלק 2",30-Aug-24,אנגלית,https://www.youtube.com/watch?v=V_JQis7NbYM
96,אחרית הימים,,,"נסיונות ואתגרים בתקופתינו - תקופת ""אחרית הימים""",28-Feb-25,עברית,https://www.youtube.com/watch?v=eBDG_bBWPt4
97,אחרית הימים,,,ה״משיח״ - מה צפוי שיקרה בבא המשיח ?,20-Mar-25,עברית,https://www.youtube.com/watch?v=46XQxW7LEwE
98,אחרית הימים,,,"בירור המושגים ""משיח"" ו""גאולה""",25-Mar-25,אנגלית,https://www.youtube.com/watch?v=tRH17hfUz84
99,אחרית הימים,,,ההקבלה בין הגאולה הראשונה לגאולה האחרונה והאולטימטיבית,27-Mar-25,אנגלית,https://www.youtube.com/watch?v=j-RjkI0mW5U
100,אחרית הימים,,,התיאור של מלחמת גוג ומגוג על פי הנביאים חלק א',28-Aug-25,אנגלית,https://www.youtube.com/watch?v=IZuKSJTc_eg
101,אחרית הימים,,,התיאור של מלחמת גוג ומגוג על פי הנביאים חלק ב',29-Aug-25,אנגלית,https://www.youtube.com/watch?v=O1mnZY3b50s
102,אחרית הימים,,,אחרית הימים - חלק א' - האירועים הצפויים לפי דברי הנביאים,22-Dec-25,עברית,https://www.youtube.com/watch?v=8JTDvkfen7I
103,אחרית הימים,,,אחרית הימים - חלק ב' - המצב של עם ישראל בעידן הנוכחי,26-Dec-25,עברית,https://www.youtube.com/watch?v=JQfgd-EdxT4
104,אחרית הימים,,,העולם הזה והעולם שיבוא,28-Jan-26,אנגלית,https://www.youtube.com/watch?v=eHmNL5ShlxA
105,אחרית הימים,,,מידע מרתק בתנ״ך על פרס באחרית הימים,5-Feb-26,עברית,https://www.youtube.com/watch?v=MCBwm8dZVjE
106,אחרית הימים,,,"העולם הזה"" ו""העולם הבא"" - ביאור המושגים",6-Feb-26,עברית,https://www.youtube.com/watch?v=90FbLgsffxQ
107,אחרית הימים,,,מה קורה לנשמה אחרי מאה ועשרים,10-Feb-26,עברית,https://www.youtube.com/watch?v=5czEuOiCT_c
108,אחרית הימים,,,חבלי משיח - הנסיונות שלפני הגאולה,21-Jun-26,עברית,https://www.youtube.com/watch?v=aPa9vkYy6K8
109,ישראל ואומות העולם,,,הסכסוך הערבי ישראלי בראי הנבואה והקבלה,29-Dec-13,עברית,https://www.youtube.com/watch?v=ExpBzRLJ86k
110,ישראל ואומות העולם,,,הסכסוך הערבי ישראלי 1,9-Feb-14,אנגלית,https://www.youtube.com/watch?v=EjvzqYW7tvY
111,ישראל ואומות העולם,,,הסכסוך הערבי ישראלי 2,24-Feb-14,אנגלית,https://www.youtube.com/watch?v=0VUPwKzlXJs
112,ישראל ואומות העולם,,,ישראל וגרמניה - הקרב על מנהיגות 1,24-Feb-14,אנגלית,https://www.youtube.com/watch?v=7zAyj5uOq9E
113,ישראל ואומות העולם,,,ישראל וגרמניה - הקרב על מנהיגות 2,29-Jul-14,אנגלית,https://www.youtube.com/watch?v=LC8Dq_5wqOc
114,ישראל ואומות העולם,,,השורשים הרוחניים של הסכסוך הערבי ישראלי,12-Mar-15,עברית,https://www.youtube.com/watch?v=TQb1BnBPOPM
115,ישראל ואומות העולם,,,כיצד צריך עם ישראל להתייחס לתרבות העולמית,17-Jul-15,עברית,https://www.youtube.com/watch?v=tRNE4g6xjaA
116,ישראל ואומות העולם,,,הסכסוך הערבי ישראלי בראי הנבואה והקבלה,17-Jun-16,עברית,https://www.youtube.com/watch?v=T0KZmc86bkU
117,ישראל ואומות העולם,,,הסכסוך הערבי ישראלי בראי הנבואה והקבלה,4-May-17,עברית,https://www.youtube.com/watch?v=gd-Je8RjDok
118,ישראל ואומות העולם,,,ירושלים - עיר השלום,4-Jun-17,עברית,https://www.youtube.com/watch?v=Q8F73SpJzGI
119,ישראל ואומות העולם,,,"הסכסוך הערבי ישראלי , מהותו - ופיתרונו על פי הנבואה והקבלה",16-Aug-17,עברית,https://www.youtube.com/watch?v=RJKNxAg2zJY
120,ישראל ואומות העולם,,,הסכסוך הערבי ישראלי,14-Nov-17,אנגלית,https://www.youtube.com/watch?v=p3i43D0k3IA
121,ישראל ואומות העולם,,,מהי ״קדושת״ ארץ ישראל,19-Apr-18,עברית,https://www.youtube.com/watch?v=hHxzUoZ-xSQ
122,ישראל ואומות העולם,,,ארץ הקודש - ארץ ישראל,19-Apr-18,אנגלית,https://www.youtube.com/watch?v=2s2oyUsXxpc
123,ישראל ואומות העולם,,,ירושלים והבעיה ״הפלסטינאית״ בראי הנבואה והקבלה,24-Aug-18,עברית,https://www.youtube.com/watch?v=B02_JzrKVUo
124,ישראל ואומות העולם,,,לאן מוביל אותנו הסכסוך הערבי ישראלי ?,22-Nov-18,עברית,https://www.youtube.com/watch?v=LUnIHXK3MR0
125,ישראל ואומות העולם,,,ירושלים וה״בעיה הפלסטינאית״,24-Feb-19,עברית,https://www.youtube.com/watch?v=xXfEnqtIzoQ
126,ישראל ואומות העולם,,,עם ישראל - גורל ויעוד,20-May-19,עברית,https://www.youtube.com/watch?v=oaAl-l5yLT0
127,ישראל ואומות העולם,,,אחדות עם ישראל”,6-Mar-24,עברית,https://www.youtube.com/watch?v=eFrmhMFSrNE
128,ישראל ואומות העולם,,,"המבט התנ""כי על המלחמה בארץ ישראל",26-Mar-24,עברית,https://www.youtube.com/watch?v=4BUaFhEGWE0
129,ישראל ואומות העולם,,,הנבואות על המצב בישראל בעידן הנוכחי,1-Apr-24,אנגלית,https://www.youtube.com/watch?v=eYT5K1QVnQg
130,ישראל ואומות העולם,,,הנבואות בתנ״ך על המצב בארץ ישראל בעידן הנוכחי,11-Apr-24,עברית,https://www.youtube.com/watch?v=JUM5WwiJD-w
131,ישראל ואומות העולם,,,המלחמה על ארץ ישראל,12-Jul-24,עברית,https://www.youtube.com/watch?v=yN0sFL7dsko
132,ישראל ואומות העולם,,,השורשים של הסיכסוך הערבי ישראלי בראי הנבואה והקבלה,28-Jan-25,עברית,https://www.youtube.com/watch?v=GMOGW6buQ5A
133,ישראל ואומות העולם,,,הנבואות על המצב העכשווי בארץ ישראל,31-Jan-25,עברית,https://www.youtube.com/watch?v=_LB3fzUg-Nc
134,ישראל ואומות העולם,,,״עם ישראל חי״ - סוד נצחיותו של עם ישראל,26-Feb-25,עברית,https://www.youtube.com/watch?v=Ths5Rwx0INI
135,הנביאים,,,אליהו הנביא,13-Mar-16,עברית,https://www.youtube.com/watch?v=I55YtTdyays
136,הנביאים,,,"הנביאים בתנ""ך",23-Aug-16,עברית,https://www.youtube.com/watch?v=Pg--EqrwriE
137,הנביאים,,,שמואל הנביא,30-Aug-16,עברית,https://www.youtube.com/watch?v=_WB7uGskLfY
138,הנביאים,,,אליהו הנביא - חלק א,6-Sep-16,עברית,https://www.youtube.com/watch?v=wsMcERsjynk
139,הנביאים,,,אליהו הנביא - חלק ב,13-Sep-16,עברית,https://www.youtube.com/watch?v=HYSgCBpyusA
140,הנביאים,,,אליהו הנביא - חלק ג,20-Sep-16,עברית,https://www.youtube.com/watch?v=JEATn3hcvao
141,הנביאים,,,אלישע הנביא - חלק א,8-Nov-16,עברית,https://www.youtube.com/watch?v=BBXLWHMcb4w
142,הנביאים,,,אלישע הנביא - חלק ב,15-Nov-16,עברית,https://www.youtube.com/watch?v=vkgxTe5VRMg
143,הנביאים,,,אלישע הנביא - חלק ג,22-Nov-16,עברית,https://www.youtube.com/watch?v=CeaPjMnu31k
144,הנביאים,,,"""חזון ישעיהו על יהודה וירושלים"" - בימים ההם ובזמן הזה",27-Jul-17,עברית,https://www.youtube.com/watch?v=_aNQMNIaijQ
145,הנביאים,,,סעודת מלוה מלכה ואליהו הנביא,21-Jan-18,עברית,https://www.youtube.com/watch?v=9SWh3ULLV-k
146,הנביאים,,,נבואת ירמיהו על ארועי ימינו ועל הדרך לשרוד אותם,10-Jul-24,עברית,https://www.youtube.com/watch?v=OYWTYji5vV8
147,הנביאים,,,הנבואות על המצב העכשווי,25-Jul-24,עברית,https://www.youtube.com/watch?v=yiIgQQVvNSA
148,"יהדות, נצרות ואיסלאם",,,יון - החיה השלישית,5-Dec-13,עברית,https://www.youtube.com/watch?v=wJaPB_tHoq4
149,"יהדות, נצרות ואיסלאם",,,חכמת ישראל מול חכמת יון,5-Dec-13,עברית,https://www.youtube.com/watch?v=nF83IXgcwuQ
150,"יהדות, נצרות ואיסלאם",,,אנטישמיות - חלק א,27-Feb-14,עברית,https://www.youtube.com/watch?v=T5-mdVR0k68
151,"יהדות, נצרות ואיסלאם",,,אנטישמיות - חלק ב,6-Mar-14,עברית,https://www.youtube.com/watch?v=t8OYRcf2leQ
152,"יהדות, נצרות ואיסלאם",,,אנטישמיות - חלק ג - ישראל ועמלק,13-Mar-14,עברית,https://www.youtube.com/watch?v=rIS6HjDSC_k
153,"יהדות, נצרות ואיסלאם",,,אנטישמיות - חלק ד - ישראל ועמלק,20-Mar-14,עברית,https://www.youtube.com/watch?v=Y58QFuWu4bs
154,"יהדות, נצרות ואיסלאם",,,מלחמת עמלק,4-Mar-14,אנגלית,https://www.youtube.com/watch?v=htSzjAXtKHQ
155,"יהדות, נצרות ואיסלאם",,,האיסלם באחרית הימים,16-Sep-14,עברית,https://www.youtube.com/watch?v=xt4Rld7WBJc
156,"יהדות, נצרות ואיסלאם",,,הפלישתים והפלסטינאים,1-Nov-14,עברית,https://www.youtube.com/watch?v=wdr2TbqXok8
157,"יהדות, נצרות ואיסלאם",,,יהדות ונצרות - חלק א,6-Jan-15,עברית,https://www.youtube.com/watch?v=wPu4ywE3_-I
158,"יהדות, נצרות ואיסלאם",,,יהדות ונצרות - חלק ב,13-Jan-15,עברית,https://www.youtube.com/watch?v=4kVE68VLu3o
159,"יהדות, נצרות ואיסלאם",,,יהדות ונצרות - חלק ג,29-Jan-15,עברית,https://www.youtube.com/watch?v=8AiFs7L7po8
160,"יהדות, נצרות ואיסלאם",,,יהדות ונצרות - חלק ד,5-Feb-15,עברית,https://www.youtube.com/watch?v=c5j4FpX15NU
161,"יהדות, נצרות ואיסלאם",,,יהדות ונצרות - חלק ה,10-Feb-15,עברית,https://www.youtube.com/watch?v=53yhHkdVMiw
162,"יהדות, נצרות ואיסלאם",,,"מסגד ""אל אקצא"" , ""דו קיום"" , וטרור הסכינים",13-Oct-15,עברית,https://www.youtube.com/watch?v=6CN_RLY9frk
163,"יהדות, נצרות ואיסלאם",,,"מסגד ""אל אקצא"" , ""דו קיום"" , וטרור הסכינים [גרסה ב'-שיקאגו]",2-Nov-15,עברית,https://www.youtube.com/watch?v=jM8IV-v4p0E
164,"יהדות, נצרות ואיסלאם",,,"מלחמת העולמות ה""אסלם"" מול ה""נצרות"" המקורות בתנ""ך , במדרשים ובקבלה",16-Nov-15,עברית,https://www.youtube.com/watch?v=iGHlCF_8zO0
165,"יהדות, נצרות ואיסלאם",,,אנטישמיות - ישראל גרמניה המאבק על הבכורה,26-Jan-16,עברית,https://www.youtube.com/watch?v=f0Fs39AfATk
166,"יהדות, נצרות ואיסלאם",,,אנטישמיות - ישראל גרמניה המאבק על הבכורה,8-Jul-16,עברית,https://www.youtube.com/watch?v=qb6kLmvht_M
167,"יהדות, נצרות ואיסלאם",,,האסלאם באחרית הימים,25-Dec-17,עברית,https://www.youtube.com/watch?v=OJt5QywZk3A
168,"יהדות, נצרות ואיסלאם",,,ההבדל המהותי בין היהודים לגויים,7-May-19,עברית,https://www.youtube.com/watch?v=mmJ_uqWjuJY
169,"יהדות, נצרות ואיסלאם",,,הקשר בין ה״פלסטינאים״ לפלישתים בתנ״ך,18-Nov-19,עברית,https://www.youtube.com/watch?v=mWKlYMPl4wM
170,"יהדות, נצרות ואיסלאם",,,יעודו של ישמעאל בעולם,19-May-21,עברית,https://www.youtube.com/watch?v=WDiodhJfBRs
171,"יהדות, נצרות ואיסלאם",,,העימות בין ישראל לבין ישמעאל,18-Jun-22,עברית,https://www.youtube.com/watch?v=UkC5VnFZxbY
172,"יהדות, נצרות ואיסלאם",,,הקשר שבין ה״פלשתינאים״ והפלשתים בתנ״ך,16-Jun-22,עברית,https://www.youtube.com/watch?v=dQPcpwmxVKA
173,"יהדות, נצרות ואיסלאם",,,הישמעאלים וישראל,20-Nov-23,אנגלית,https://www.youtube.com/watch?v=ztffSGMzOKA
174,"יהדות, נצרות ואיסלאם",,,השורשים הרוחניים של הסכסוך הערבי ישראלי,10-Apr-24,עברית,https://www.youtube.com/watch?v=1NjSb3og3gQ
175,"יהדות, נצרות ואיסלאם",,,האם יש פיתרון לסכסוך הערבי ישראלי ?,14-Jul-24,עברית,https://www.youtube.com/watch?v=GpU4o58xi_A
176,"יהדות, נצרות ואיסלאם",,,מקומו של ישמעאל במערך ה״מלכויות״ על פי ״חלום הצלם״ בספר דניאל,15-Jul-24,עברית,https://www.youtube.com/watch?v=j7uZCL73x0g
177,"יהדות, נצרות ואיסלאם",,,הסיבה הרוחנית לסכסוך הערבי-ישראלי,17-Jul-24,עברית,https://www.youtube.com/watch?v=xgLbDswn3Vg
178,"יהדות, נצרות ואיסלאם",,,"מי באמת היה יש""ו ?",25-Dec-25,עברית,https://www.youtube.com/watch?v=Ofh1Fui_BvU
179,"יהדות, נצרות ואיסלאם",,,השורשים של האנטישמיות: נקודת מבטה של התורה,20-May-26,אנגלית,https://www.youtube.com/watch?v=77z1lFavd7s
180,"יהדות, נצרות ואיסלאם",,,אנטישמיות - למה הם כל כך שונאים אותנו ?,22-Jun-26,עברית,https://www.youtube.com/watch?v=ZXQuF1jghc8
181,נושאים נוספים,,,ספר איוב,2-Feb-16,אנגלית,https://www.youtube.com/watch?v=pRKXelmRUrQ
